date,ah_manaus,t_manaus,ah_belem,t_belem,ah_curitiba,t_curitiba,ah_florianopolis,t_florianopolis,covid_amazonas,covid_para,covid_parana,covid_santa_catarina
2020-03-02,23.02,26.25,23.2,26.23,13.11,21.03,15.84,23.07,0.0,7.0,9.0,6.0
2020-03-09,22.81,27.42,22.93,25.72,12.81,24.02,16.36,24.51,4.0,8.0,9.0,22.0
2020-03-16,22.11,26.72,20.8,26.15,15.52,26.43,19.27,26.02,50.0,18.0,73.0,69.0
2020-03-23,22.79,26.3,22.81,26.81,11.25,22.26,15.39,23.52,151.0,44.0,83.0,66.0
2020-03-30,23.71,26.66,23.49,27.08,14.98,24.5,18.32,25.65,376.0,145.0,67.0,46.0
2020-04-06,23.85,26.83,24.28,26.95,14.11,25.24,16.69,23.15,630.0,454.0,48.0,36.0
2020-04-13,21.87,25.29,22.64,25.84,11.72,22.03,14.1,21.7,682.0,801.0,69.0,46.0
2020-04-20,21.42,26.15,22.94,26.37,11.37,21.38,14.66,21.99,773.0,1135.0,54.0,67.0
2020-04-27,22.1,26.12,22.65,25.92,10.31,21.82,16.0,22.62,846.0,1286.0,93.0,60.0
2020-05-04,22.98,26.78,24.11,27.07,8.89,19.39,12.24,19.8,654.0,1176.0,103.0,70.0
2020-05-11,23.32,27.33,22.59,26.3,9.14,20.73,13.99,21.38,606.0,1091.0,171.0,95.0
2020-05-18,22.69,26.55,23.37,26.56,8.06,18.6,11.16,19.75,374.0,791.0,195.0,117.0
2020-05-25,21.76,25.89,22.61,26.84,7.56,12.36,9.37,19.16,266.0,595.0,282.0,112.0
2020-06-01,21.9,25.33,23.45,26.69,12.0,17.25,11.57,18.4,247.0,557.0,452.0,155.0
2020-06-08,21.14,26.83,22.61,27.62,13.18,19.27,11.02,18.31,199.0,491.0,572.0,204.0
2020-06-15,21.76,26.42,21.99,26.48,11.29,18.26,11.53,17.41,193.0,450.0,717.0,348.0
2020-06-22,22.49,26.79,22.19,26.83,10.65,20.14,14.28,20.99,144.0,294.0,634.0,362.0
2020-06-29,21.65,25.99,23.16,26.77,10.61,14.48,11.75,17.24,194.0,360.0,755.0,526.0
2020-07-06,22.36,26.27,22.56,27.05,12.67,18.06,12.94,18.08,162.0,304.0,851.0,667.0
2020-07-13,21.9,26.19,22.3,27.44,12.9,20.97,11.35,16.16,163.0,252.0,749.0,739.0
2020-07-20,21.93,26.51,22.09,26.62,10.62,18.19,14.32,19.89,135.0,227.0,695.0,655.0
2020-07-27,21.72,26.83,21.91,26.59,11.84,19.52,12.99,16.83,151.0,222.0,694.0,520.0
2020-08-03,20.87,27.07,21.83,27.32,9.65,17.37,12.47,17.21,110.0,202.0,637.0,452.0
2020-08-10,21.53,27.62,21.74,27.76,9.04,19.54,14.2,20.0,143.0,219.0,678.0,363.0
2020-08-17,22.32,28.57,20.88,28.46,14.17,17.82,13.83,18.33,141.0,193.0,597.0,279.0
2020-08-24,20.61,27.31,21.56,28.1,10.31,14.85,11.74,16.84,127.0,164.0,589.0,246.0
2020-08-31,21.18,27.56,21.25,28.38,13.52,20.63,12.54,17.53,155.0,130.0,635.0,188.0
2020-09-07,19.04,30.21,19.82,29.7,12.31,22.32,14.51,18.85,193.0,119.0,503.0,204.0
2020-09-14,21.54,30.4,20.34,29.51,11.43,24.73,14.23,19.84,162.0,113.0,458.0,140.0
2020-09-21,22.36,29.42,20.97,28.39,12.46,18.88,9.22,15.59,180.0,106.0,417.0,148.0
2020-09-28,20.44,28.57,21.06,27.65,16.25,22.96,16.07,22.98,201.0,116.0,406.0,187.0
2020-10-05,23.01,26.8,20.97,28.15,14.65,26.27,15.92,20.98,199.0,110.0,377.0,175.0
2020-10-12,20.48,29.25,20.24,28.91,12.03,22.8,13.72,19.86,157.0,91.0,344.0,238.0
2020-10-19,21.94,27.31,21.29,28.07,14.09,24.0,16.32,22.02,179.0,127.0,356.0,298.0
2020-10-26,22.79,28.2,21.42,28.5,14.43,23.48,16.55,23.27,163.0,126.0,386.0,377.0
2020-11-02,21.17,27.38,20.51,29.42,9.27,19.99,11.54,19.61,152.0,128.0,656.0,589.0
2020-11-09,22.76,27.4,21.79,27.57,12.51,27.71,15.41,21.57,181.0,125.0,960.0,686.0
2020-11-16,22.7,27.68,23.01,27.02,15.81,26.26,18.4,25.87,187.0,149.0,1076.0,849.0
2020-11-23,22.67,27.41,22.07,25.56,10.8,24.06,14.96,23.09,163.0,153.0,1059.0,789.0
2020-11-30,22.25,25.74,23.2,26.81,16.04,25.29,18.53,25.8,250.0,189.0,1098.0,756.0
2020-12-07,22.48,25.68,22.48,26.8,14.9,22.82,16.71,22.65,288.0,210.0,1033.0,573.0
2020-12-14,22.75,26.66,22.7,25.95,17.18,24.35,18.98,25.5,404.0,211.0,828.0,459.0
2020-12-21,22.31,26.92,21.37,26.53,18.62,24.77,17.61,24.65,744.0,233.0,831.0,485.0
2020-12-28,22.17,26.64,22.39,26.17,17.43,24.83,18.28,24.13,1142.0,375.0,951.0,455.0
2021-01-04,20.83,25.27,22.83,26.54,14.37,23.35,16.28,24.53,1102.0,381.0,944.0,499.0
2021-01-11,21.65,26.35,22.68,26.56,17.88,26.72,20.77,26.79,1097.0,475.0,854.0,395.0
2021-01-18,22.24,26.46,22.44,26.46,18.45,22.39,18.22,25.12,843.0,526.0,816.0,393.0
2021-01-25,21.05,25.46,22.87,25.64,17.42,21.23,19.51,24.06,628.0,415.0,772.0,419.0
2021-02-01,22.21,26.9,23.08,26.51,17.59,22.41,20.85,26.36,646.0,523.0,1042.0,709.0
2021-02-08,22.62,26.86,22.51,26.43,12.73,20.55,15.93,23.64,471.0,460.0,1425.0,1076.0
2021-02-15,22.13,26.0,23.23,25.9,16.81,22.48,18.44,25.87,380.0,555.0,1995.0,1469.0
2021-02-22,22.27,26.77,21.29,24.98,14.01,24.81,17.37,25.39,261.0,649.0,2212.0,1491.0
2021-03-01,21.85,25.99,20.91,25.08,16.03,22.09,19.64,24.33,350.0,1116.0,2637.0,1822.0
2021-03-08,22.34,25.88,22.67,26.02,16.85,23.04,18.36,24.5,291.0,1192.0,2324.0,1495.0
2021-03-15,21.8,26.34,21.97,26.22,16.55,24.13,19.62,25.3,296.0,1174.0,2122.0,1367.0
2021-03-22,21.5,26.03,21.76,25.64,17.94,24.45,20.0,24.9,203.0,866.0,1528.0,990.0
2021-03-29,21.99,26.06,22.64,26.4,17.21,23.18,19.33,25.02,180.0,826.0,1426.0,993.0
2021-04-05,22.3,27.14,23.16,26.83,12.64,21.29,16.07,23.43,175.0,736.0,1615.0,1027.0
2021-04-12,21.95,26.52,22.44,26.82,15.07,24.15,16.04,23.18,138.0,523.0,1450.0,822.0
2021-04-19,21.17,25.43,20.56,25.55,12.12,20.58,15.64,22.12,124.0,501.0,1516.0,917.0
2021-04-26,21.8,25.41,22.27,26.93,11.92,19.96,14.32,21.22,147.0,470.0,1873.0,891.0
2021-05-03,20.88,25.91,22.77,26.74,11.15,21.45,16.1,21.79,127.0,448.0,2098.0,938.0
2021-05-10,21.51,26.28,22.73,26.76,9.92,19.33,14.81,20.15,184.0,526.0,2496.0,983.0
2021-05-17,22.19,26.0,22.12,25.31,11.06,18.95,14.0,20.06,149.0,526.0,2584.0,1045.0
2021-05-24,23.49,27.35,23.66,27.5,7.21,11.56,8.64,15.54,172.0,434.0,2547.0,966.0
2021-05-31,22.76,27.48,22.8,27.07,13.63,17.77,11.01,16.48,158.0,410.0,2341.0,1092.0
2021-06-07,22.4,27.11,22.57,26.89,13.33,17.55,13.36,17.52,165.0,368.0,1790.0,922.0
2021-06-14,21.46,26.69,23.17,26.59,8.46,14.37,11.02,15.01,131.0,350.0,1622.0,799.0
2021-06-21,21.89,26.77,22.83,27.02,10.77,13.6,11.81,15.99,181.0,273.0,1326.0,711.0
2021-06-28,21.91,25.93,20.72,27.04,9.23,11.82,9.0,12.08,137.0,243.0,1070.0,686.0
2021-07-05,19.41,25.16,22.76,26.27,9.48,14.84,11.38,15.5,128.0,211.0,913.0,613.0
2021-07-12,21.95,26.17,22.76,26.29,8.98,16.46,13.08,17.12,116.0,156.0,740.0,452.0
2021-07-19,21.93,26.72,22.87,27.05,4.85,7.08,6.69,11.81,74.0,177.0,680.0,424.0
2021-07-26,21.55,26.75,22.21,27.23,9.33,17.98,13.82,17.73,62.0,112.0,711.0,352.0
2021-08-02,20.73,25.75,21.86,26.74,8.26,14.46,11.68,16.31,59.0,101.0,906.0,428.0
2021-08-09,22.07,27.48,22.45,27.0,9.89,19.6,14.11,18.64,46.0,93.0,783.0,353.0
2021-08-16,21.53,26.47,22.29,26.58,12.03,21.82,14.14,17.94,39.0,67.0,820.0,335.0
2021-08-23,21.8,27.21,22.37,27.16,9.71,23.02,13.51,19.54,26.0,51.0,675.0,285.0
2021-08-30,22.57,25.77,22.3,27.03,10.2,18.79,13.43,18.06,18.0,54.0,697.0,265.0
2021-09-06,22.18,26.86,22.34,26.71,11.62,24.39,13.61,18.62,12.0,43.0,596.0,215.0
2021-09-13,22.01,27.72,22.36,26.63,12.47,26.15,16.79,21.43,16.0,46.0,549.0,249.0
2021-09-20,22.23,26.69,22.08,27.1,13.75,27.62,17.58,22.14,14.0,40.0,417.0,269.0
2021-09-27,21.93,26.19,22.01,26.63,14.04,24.18,15.99,21.05,11.0,51.0,338.0,240.0
2021-10-04,22.62,26.96,22.05,26.99,17.34,22.04,13.27,19.57,9.0,60.0,297.0,206.0
